task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	absolute	ir	large	cycles:u	33133589378.000000	33087742855.000000	33454078548.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	per_pass	tw	-	cycles:u	807.352656	784.228553	842.046090	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	fixed	tw	-	cycles:u	70748797.000000	-660688622.000000	875592336.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	per_pass	ir	-	cycles:u	869.372623	865.214132	888.595111	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	fixed	ir	-	cycles:u	75798939.000000	-312535668.000000	246460042.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	base	per_pass_gap	ir-tw	-	cycles:u	61.382710	46.549021	88.314007	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	arm_ratio	ir/tw	small	instructions:u	1.031675	1.031675	1.031675	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	absolute	tw	small	instructions:u	72580654164.000000	72580653185.000000	72580654304.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	absolute	ir	small	instructions:u	74879659727.000000	74879659607.000000	74879660313.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	arm_ratio	ir/tw	large	instructions:u	1.031675	1.031675	1.031675	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	absolute	tw	large	instructions:u	145160693310.000000	145160692915.000000	145160693706.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	absolute	ir	large	instructions:u	149758699810.000000	149758698868.000000	149758700414.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	per_pass	tw	-	instructions:u	3820.002079	3820.002032	3820.002127	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	fixed	tw	-	instructions:u	614706.000000	612777.000000	615693.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	per_pass	ir	-	instructions:u	3941.002110	3941.002042	3941.002121	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	fixed	ir	-	instructions:u	619728.000000	619316.000000	621254.000000	5
7-M2-breakdown	fd0ea6d1..ced6c209	varlookup	generic	per_pass_gap	ir-tw	-	instructions:u	121.000026	120.999964	121.000071	5
